Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Min Salary,Max Salary,Competitor Count
Data Scientist- Industrial Discrete Sector Industry,$69K-$116K (Glassdoor est.),3.7,"IBM
3.7","Atlanta, GA","Armonk, NY",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft",69000,116000.0,3
Data Scientist,$69K-$116K (Glassdoor est.),4.4,"Knowesis Inc.
4.4","Falls Church, VA","Fairfax, VA",51 to 200 employees,2007,Company - Private,Consulting,Business Services,$25 to $50 million (USD),"Booz Allen Hamilton, Deloitte, ERPi",69000,116000.0,3
Data Scientist,$69K-$116K (Glassdoor est.),3.1,"MoTek Technologies
3.1","Mountain View, CA","San Jose, CA",1 to 50 employees,2009,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,69000,116000.0,0
Data Scientist,$69K-$116K (Glassdoor est.),3.3,"The Davey Tree Expert Company
3.3","Kent, OH","Kent, OH",10000+ employees,1880,Self-employed,Timber Operations,Agriculture & Forestry,$1 to $2 billion (USD),"ACRT Services, Bartlett Tree Experts",69000,116000.0,2
Data Scientist,$69K-$116K (Glassdoor est.),3.5,"HPOne
3.5","Trumbull, CT","Trumbull, CT",501 to 1000 employees,2006,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD),-1,69000,116000.0,0
Data Scientist,$69K-$116K (Glassdoor est.),-1.0,Stride Search,"San Francisco, CA","Westlake Village, CA",1 to 50 employees,,Company - Private,-1,-1,Less than $1 million (USD),-1,69000,116000.0,0
Machine Learning Engineer,$69K-$116K (Glassdoor est.),2.6,"Software Engineering Institute
2.6","Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,69000,116000.0,0
Data Scientist,$69K-$116K (Glassdoor est.),-1.0,Blue Cloak LLC,"Sterling, VA",-1,-1,,-1,-1,-1,-1,-1,69000,116000.0,0
Data Scientist,$69K-$116K (Glassdoor est.),2.7,"TBWA\Chiat\Day
2.7","New York, NY","New York, NY",1001 to 5000 employees,1968,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,69000,116000.0,0
Data Scientist,$69K-$116K (Glassdoor est.),3.5,"ThreeBridge Solutions
3.5","Alpharetta, GA","Minneapolis, MN",501 to 1000 employees,2009,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,69000,116000.0,0
Data Scientist,$69K-$116K (Glassdoor est.),3.2,"Numeric, LLC
3.2","Philadelphia, PA","Chadds Ford, PA",1 to 50 employees,,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,69000,116000.0,0
Data Analyst - Unilever Prestige,$69K-$116K (Glassdoor est.),3.8,"Dermalogica
3.8","Carson, CA","Carson, CA",201 to 500 employees,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),"IMAGE Skincare, Aveda, Kiehl's",69000,116000.0,3
Data Scientist,$69K-$116K (Glassdoor est.),4.2,"Centraprise
4.2","Foster City, CA","Edison, NJ",51 to 200 employees,,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,69000,116000.0,0
Data Scientist,$69K-$116K (Glassdoor est.),4.8,"TechProjects
4.8","New York, NY","North Brunswick, NJ",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,69000,116000.0,0
Data Scientist,$69K-$116K (Glassdoor est.),4.2,"DW Simpson
4.2","Frederick, MD","Chicago, IL",51 to 200 employees,1989,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,69000,116000.0,0
Data & Machine Learning Scientist,$31K-$56K (Glassdoor est.),3.3,"Tempus Labs
3.3","Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,31000,56000.0,0
Data Scientist,$31K-$56K (Glassdoor est.),4.0,"Grid Dynamics
4.0","Santa Clara, CA","San Ramon, CA",1001 to 5000 employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),"Luxoft, EPAM, Capgemini Invent",31000,56000.0,3
"VP, Data Science",$31K-$56K (Glassdoor est.),3.9,"7Park Data
3.9","New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,31000,56000.0,0
Senior Business Intelligence Analyst,$31K-$56K (Glassdoor est.),3.7,"Protolabs
3.7","Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),-1,31000,56000.0,0
Data Scientist,$31K-$56K (Glassdoor est.),3.9,"LinQuest
3.9","Colorado Springs, CO","Los Angeles, CA",501 to 1000 employees,2004,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,31000,56000.0,0
Data Engineer - Kafka,$31K-$56K (Glassdoor est.),3.5,"Western Digital
3.5","San Jose, CA","San Jose, CA",10000+ employees,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Seagate Technology, Toshiba",31000,56000.0,2
Data Scientist,$31K-$56K (Glassdoor est.),4.0,"Trexquant Investment
4.0",United States,"Stamford, CT",1 to 50 employees,2012,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,31000,56000.0,0
Data Scientist,$31K-$56K (Glassdoor est.),3.0,"Ameritas Life Insurance Corp
3.0","Cincinnati, OH","Lincoln, NE",1001 to 5000 employees,1887,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),-1,31000,56000.0,0
Data Scientist,$31K-$56K (Glassdoor est.),3.7,"Fleetcor
3.7","Atlanta, GA","Atlanta, GA",5001 to 10000 employees,2000,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (USD),-1,31000,56000.0,0
Data Scientist,$31K-$56K (Glassdoor est.),4.5,"Radiant Digital
4.5","Washington, DC","New York, NY",1 to 50 employees,,Company - Private,-1,-1,Less than $1 million (USD),-1,31000,56000.0,0
Data Scientist,$31K-$56K (Glassdoor est.),2.8,"Child Care Aware of America
2.8","Arlington, VA","Arlington, VA",51 to 200 employees,1987,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),-1,31000,56000.0,0
Data Scientist,$31K-$56K (Glassdoor est.),4.1,"IntelliPro Group Inc.
4.1","Santa Clara, CA","Santa Clara, CA",201 to 500 employees,,Company - Private,-1,-1,$10 to $25 million (USD),-1,31000,56000.0,0
In-Line Inspection Data Analyst,$31K-$56K (Glassdoor est.),2.9,"Quest Integrity
2.9","Tulsa, OK","Kent, WA",201 to 500 employees,1996,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),-1,31000,56000.0,0
Data Scientist,$31K-$56K (Glassdoor est.),4.7,"Praxis Engineering
4.7","Chantilly, VA","Annapolis Junction, MD",201 to 500 employees,2002,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Raytheon Technologies, Northrop Grumman, Booz Allen Hamilton",31000,56000.0,3
Data Scientist,$31K-$56K (Glassdoor est.),3.4,"USI
3.4","Southfield, MI","Saint Paul, MN",1001 to 5000 employees,1998,Company - Private,Construction,"Construction, Repair & Maintenance",$100 to $500 million (USD),-1,31000,56000.0,0
Data Scientist,$31K-$56K (Glassdoor est.),3.9,"Apex Systems
3.9","San Francisco, CA","Glen Allen, VA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"TEKsystems, Insight Global, Accenture",31000,56000.0,3
Data Scientist,$31K-$56K (Glassdoor est.),2.9,"Pragmatics, Inc.
2.9",United States,"Reston, VA",201 to 500 employees,1985,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,31000,56000.0,0
Decision Scientist,$31K-$56K (Glassdoor est.),4.5,"Johns Hopkins University Applied Physics Laboratory
4.5","Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman",31000,56000.0,3
Data Scientist,$31K-$56K (Glassdoor est.),4.9,"Cambridge Mobile Telematics
4.9","Cambridge, MA","Cambridge, MA",1 to 50 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,31000,56000.0,0
Data Scientist - TS/SCI FSP or CI Required,$31K-$56K (Glassdoor est.),5.0,"Phoenix Operations Group
5.0","Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,31000,56000.0,0
"Data Scientist, Applied Machine Learning - Bay Area",$95K-$119K (Glassdoor est.),3.3,"Tempus Labs
3.3","Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),3.5,"The Knot Worldwide
3.5","Washington, DC","Chevy Chase, MD",1001 to 5000 employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Zola Registry,95000,119000.0,1
Data Scientist,$95K-$119K (Glassdoor est.),3.5,"Crossover Health
3.5","San Clemente, CA","Aliso Viejo, CA",1 to 50 employees,2010,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),4.0,"Lorven Technologies Inc
4.0","New York, NY","Plainsboro, NJ",1 to 50 employees,,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,95000,119000.0,0
Data Analyst,$95K-$119K (Glassdoor est.),3.9,"Nolij Consulting
3.9","Falls Church, VA","Vienna, VA",51 to 200 employees,2012,Company - Public,Consulting,Business Services,$1 to $5 million (USD),-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),3.4,"Dice.com
3.4","Newton, MA","Denver, CO",201 to 500 employees,1990,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Monster Worldwide, CareerBuilder, Craigslist",95000,119000.0,3
Data Scientist,$95K-$119K (Glassdoor est.),3.5,"Gap Inc.
3.5","San Francisco, CA","San Francisco, CA",10000+ employees,1969,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"H&M, Inditex, Fast Retailing",95000,119000.0,3
Data Scientist,$95K-$119K (Glassdoor est.),4.7,"Tygart Technology, Inc
4.7","Washington, DC","Fairmont, WV",1 to 50 employees,,Company - Private,-1,-1,$1 to $5 million (USD),-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),-1.0,Hatch Data Inc,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),-1.0,Hatch Data Inc,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),-1.0,Hatch Data Inc,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),-1.0,Hatch Data Inc,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),-1.0,Hatch Data Inc,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),-1.0,Hatch Data Inc,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),4.6,"Murray Resources
4.6","The Woodlands, TX","Houston, TX",1 to 50 employees,1988,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),4.0,"New York Technology Partners
4.0","Seattle, WA","Jersey City, NJ",51 to 200 employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),4.0,"Two95 International Inc.
4.0","Chicago, IL","Cherry Hill, NJ",1 to 50 employees,,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),-1.0,Sophinea,"Chantilly, VA",-1,1 to 50 employees,,Unknown,-1,-1,Unknown / Non-Applicable,-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),4.7,"CRS Group
4.7","Chicago, IL","Itasca, IL",51 to 200 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,95000,119000.0,0
Data Scientist,$95K-$119K (Glassdoor est.),3.5,"Blackstone Talent Group
3.5","San Francisco, CA","San Francisco, CA",51 to 200 employees,1998,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,95000,119000.0,0
Data Scientist - TS/SCI Required,$95K-$119K (Glassdoor est.),5.0,"Phoenix Operations Group
5.0","Baltimore, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,95000,119000.0,0
Senior Principal Data Scientist (Python/R),$212K-$331K (Glassdoor est.),4.1,"Roche
4.1","Pleasanton, CA","Basel, Switzerland",10000+ employees,1896,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, AstraZeneca, Siemens Healthineers",212000,331000.0,3
"Real World Science, Data Scientist",$212K-$331K (Glassdoor est.),4.0,"AstraZeneca
4.0","Wilmington, DE","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",212000,331000.0,3
Data Scientist,$212K-$331K (Glassdoor est.),3.6,"Creative Circle
3.6",United States,"Los Angeles, CA",201 to 500 employees,2002,Company - Public,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,"Aquent, 24 Seven Talent",212000,331000.0,2
Data Scientist(s)/Machine Learning Engineer,$212K-$331K (Glassdoor est.),5.0,"Blue Horizon Tek Solutions
5.0","New York, NY","Coconut Creek, FL",1 to 50 employees,1987,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,212000,331000.0,0
Senior Data Scientist,$212K-$331K (Glassdoor est.),3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1,212000,331000.0,0
Data Scientist,$212K-$331K (Glassdoor est.),4.7,"Sharpedge Solutions Inc
4.7","Seattle, WA","Lombard, IL",Unknown,,Company - Private,Publishing,Media,Less than $1 million (USD),-1,212000,331000.0,0
Data Scientist,$212K-$331K (Glassdoor est.),3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1,212000,331000.0,0
Data Scientist,$212K-$331K (Glassdoor est.),3.6,"Alaka`ina Foundation Family of Companies
3.6","Fort Sam Houston, TX","Honolulu, HI",501 to 1000 employees,,Government,-1,-1,Unknown / Non-Applicable,-1,212000,331000.0,0
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,$212K-$331K (Glassdoor est.),3.9,"Southwest Research Institute
3.9","Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International",212000,331000.0,3
Data Scientist,$212K-$331K (Glassdoor est.),2.7,"Hexagon US Federal
2.7","Lexington Park, MD","Chantilly, VA",51 to 200 employees,2010,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1,212000,331000.0,0
Data Science Software Engineer,$212K-$331K (Glassdoor est.),4.8,"Klaviyo
4.8","Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,212000,331000.0,0
"Scientist / Group Lead, Cancer Biology",$212K-$331K (Glassdoor est.),-1.0,Monte Rosa Therapeutics,"Cambridge, MA",-1,-1,,-1,-1,-1,-1,-1,212000,331000.0,0
Data Scientist,$212K-$331K (Glassdoor est.),4.0,"Comtech Global Inc
4.0","Washington, DC","Columbus, OH",51 to 200 employees,,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$5 to $10 million (USD),-1,212000,331000.0,0
Data Scientist,$212K-$331K (Glassdoor est.),3.8,"Aveshka, Inc.
3.8","Washington, DC","Arlington, VA",51 to 200 employees,2010,Company - Public,IT Services,Information Technology,$10 to $25 million (USD),-1,212000,331000.0,0
"Manager, Field Application Scientist, Southeast",$212K-$331K (Glassdoor est.),4.2,"10x Genomics
4.2","Raleigh, NC","Pleasanton, CA",501 to 1000 employees,2012,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,212000,331000.0,0
COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING,$212K-$331K (Glassdoor est.),3.9,"Southwest Research Institute
3.9","Dayton, OH","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International",212000,331000.0,3
Data Scientist,$212K-$331K (Glassdoor est.),-1.0,CompuForce,"New York, NY","New York, NY",Unknown,,Company - Private,-1,-1,Unknown / Non-Applicable,-1,212000,331000.0,0
Data Scientist,$212K-$331K (Glassdoor est.),4.5,"Smith Hanley Associates
4.5","Washington, DC","New York, 061",1 to 50 employees,1980,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,"Kforce, PageGroup, Robert Half",212000,331000.0,3
Scientist - Machine Learning,$212K-$331K (Glassdoor est.),3.5,"Allen Institute
3.5","Seattle, WA","Seattle, WA",201 to 500 employees,2003,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),-1,212000,331000.0,0
Data Scientist,$212K-$331K (Glassdoor est.),2.7,"1-800-Flowers
2.7","New York, NY","Carle Place, NY",1001 to 5000 employees,1976,Company - Public,Wholesale,Business Services,$1 to $2 billion (USD),-1,212000,331000.0,0
Data Scientist,$212K-$331K (Glassdoor est.),3.5,"Aptive
3.5","Washington, DC","Alexandria, VA",51 to 200 employees,2012,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,212000,331000.0,0
Data Scientist - Image and Video Analytics,$66K-$112K (Glassdoor est.),4.9,"The Mom Project
4.9","Longmont, CO","Chicago, IL",1 to 50 employees,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,66000,112000.0,0
Data Scientist,$66K-$112K (Glassdoor est.),3.6,"Powertek
3.6","Washington, DC","Rockville, MD",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,66000,112000.0,0
Data Scientist,$66K-$112K (Glassdoor est.),5.0,"JCD Staffing
5.0","Washington, DC","Germantown, MD",1 to 50 employees,,Company - Private,-1,-1,Unknown / Non-Applicable,-1,66000,112000.0,0
Data Scientist,$66K-$112K (Glassdoor est.),3.1,"Bayside Solutions
3.1","Sunnyvale, CA","Pleasanton, CA",1 to 50 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,66000,112000.0,0
Senior Data Engineer,$66K-$112K (Glassdoor est.),3.9,"Thumbtack
3.9","San Francisco, CA","San Francisco, CA",501 to 1000 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,66000,112000.0,0
Data Scientist,$66K-$112K (Glassdoor est.),3.4,"MILVETS Systems Technology, Inc.
3.4","Patuxent, Anne Arundel, MD","Orlando, FL",51 to 200 employees,1986,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,66000,112000.0,0
Machine Learning Scientist / Engineer,$66K-$112K (Glassdoor est.),4.1,"Apple
4.1","Santa Clara, CA","Cupertino, CA",10000+ employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Google, Microsoft, Samsung Electronics",66000,112000.0,3
Data Scientist,$66K-$112K (Glassdoor est.),4.1,"Kforce
4.1","Fairfax, VA","Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1,66000,112000.0,0
Sr. Data Scientist,$66K-$112K (Glassdoor est.),3.5,"Evolve Vacation Rental
3.5","Denver, CO","Denver, CO",201 to 500 employees,2011,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,-1,66000,112000.0,0
"Intelligence Data Analyst, Senior",$66K-$112K (Glassdoor est.),4.3,"The Buffalo Group
4.3","Fort Belvoir, VA","Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",66000,112000.0,3
Data Science Analyst,$66K-$112K (Glassdoor est.),4.4,"OppLoans
4.4","Chicago, IL","Chicago, IL",201 to 500 employees,2012,Company - Private,Lending,Finance,$100 to $500 million (USD),-1,66000,112000.0,0
Data Scientist,$66K-$112K (Glassdoor est.),3.8,"AgreeYa Solutions
3.8","Thousand Oaks, CA","Folsom, CA",1001 to 5000 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,66000,112000.0,0
Data Scientist,$66K-$112K (Glassdoor est.),3.7,"Carolina Power & Light Co
3.7","McLean, VA","Raleigh, NC",5001 to 10000 employees,1908,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,"South Carolina Electric & Gas, Virginia Electric and Power",66000,112000.0,2
COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - TRANSPORTATION TECHNOLOGY,$66K-$112K (Glassdoor est.),3.9,"Southwest Research Institute
3.9","San Antonio, TX","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International",66000,112000.0,3
Data Scientist,$66K-$112K (Glassdoor est.),3.9,"Brillient
3.9","Silver Spring, MD","Reston, VA",501 to 1000 employees,2006,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,66000,112000.0,0
Data Modeler (Analytical Systems),$66K-$112K (Glassdoor est.),3.7,"MassMutual
3.7","Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1,66000,112000.0,0
Data Scientist,$66K-$112K (Glassdoor est.),2.9,"Xator Corporation
2.9","Washington, DC","Reston, VA",501 to 1000 employees,,Contract,IT Services,Information Technology,$25 to $50 million (USD),-1,66000,112000.0,0
Data Scientist,$66K-$112K (Glassdoor est.),4.6,"HAN IT Staffing Inc.
4.6","New York, NY","Totowa, NJ",51 to 200 employees,2012,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,66000,112000.0,0
Data Scientist,$66K-$112K (Glassdoor est.),3.4,"Infinitive Inc
3.4","McLean, VA","Cedar Rapids, IA",201 to 500 employees,1997,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1,66000,112000.0,0
"Data Engineer (Analytics, SQL, Python, AWS)",$66K-$112K (Glassdoor est.),4.0,"Travelers
4.0","Hartford, CT","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,66000,112000.0,0
Data Scientist 3 (718),$128K-$201K (Glassdoor est.),3.3,"Amyris
3.3","Emeryville, CA","Emeryville, CA",201 to 500 employees,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,128000,201000.0,0
Data Scientist,$128K-$201K (Glassdoor est.),4.3,"Lightspeed Systems
4.3","Austin, TX","Austin, TX",51 to 200 employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,128000,201000.0,0
Senior Data Scientist,$128K-$201K (Glassdoor est.),3.9,"Thumbtack
3.9","San Francisco, CA","San Francisco, CA",501 to 1000 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,128000,201000.0,0
Senior Data Analyst - Finance & Platform Analytics,$128K-$201K (Glassdoor est.),3.6,"Twitch
3.6","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,-1,128000,201000.0,0
Software Engineer - Machine Learning & Data Science (Applied Intelligence Services Team),$128K-$201K (Glassdoor est.),4.7,"New Relic
4.7","Portland, OR","San Francisco, CA",1001 to 5000 employees,2008,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"AppDynamics, Datadog, Dynatrace",128000,201000.0,3
IT Partner Digital Health Technology and Data Science,$128K-$201K (Glassdoor est.),3.6,"Biogen
3.6","Cambridge, MA","Cambridge, MA",5001 to 10000 employees,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,128000,201000.0,0
Data Scientist,$128K-$201K (Glassdoor est.),-1.0,HireAi,"San Francisco, CA",-1,-1,,-1,-1,-1,-1,-1,128000,201000.0,0
"Senior Machine Learning Scientist - Bay Area, CA",$128K-$201K (Glassdoor est.),3.3,"Tempus Labs
3.3","Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,128000,201000.0,0
Data Scientist,$128K-$201K (Glassdoor est.),3.3,"ICW Group
3.3","San Diego, CA","San Diego, CA",501 to 1000 employees,1972,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),"Liberty Mutual Insurance, EMPLOYERS, Travelers",128000,201000.0,3
Clinical Data Analyst,$128K-$201K (Glassdoor est.),3.8,"NYSTEC
3.8","New York, NY","Rome, NY",51 to 200 employees,1996,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),"KPMG, Accenture, Deloitte",128000,201000.0,3
Data Scientist,$128K-$201K (Glassdoor est.),4.5,"E3 Federal Solutions
4.5","Chantilly, VA","McLean, VA",501 to 1000 employees,2004,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,128000,201000.0,0
Data Engineer,$128K-$201K (Glassdoor est.),4.5,"Kingfisher Systems
4.5","Falls Church, VA","Falls Church, VA",51 to 200 employees,2005,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),-1,128000,201000.0,0
Data Scientist Technical Specialist,$128K-$201K (Glassdoor est.),3.4,"Peraton
3.4","Chantilly, VA","Herndon, VA",1001 to 5000 employees,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,128000,201000.0,0
Senior Data Scientist,$128K-$201K (Glassdoor est.),3.1,"Group O
3.1","Chicago, IL","Milan, IL",1001 to 5000 employees,1974,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),-1,128000,201000.0,0
Data Science Manager,$128K-$201K (Glassdoor est.),4.0,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1,128000,201000.0,0
